"common_name","international_common_name","scientific_name","level","xeno_id","sound_url","sound_sonogram_url","sound_license_url","sound_license_code","sound_recordist","image_info_url","image_url","image_author_raw","image_author","image_license_code","image_license_url","image_css_x","image_css_y"
"Swift","Common Swift","Apus apus","1","27236","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Tornseglaresommarflock.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27236-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Apus_apus_-Barcelona,_Spain-8_(1).jpg","https://upload.wikimedia.org/wikipedia/commons/b/be/Apus_apus_-Barcelona%2C_Spain-8_%281%29.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/7686882@N08"">pau.artigas</a>","pau.artigas","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","90","50"
"Great Spotted Woodpecker",,"Dendrocopos major","1","28028","https://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/GreatSpottedWoodpecker270308.mp3","https://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/ffts/XC28028-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Mathias Ritschard","https://commons.wikimedia.org/wiki/File:Greater_Spotted_Woodpecker_(41554059345).jpg","https://upload.wikimedia.org/wikipedia/commons/c/c5/Greater_Spotted_Woodpecker_%2841554059345%29.jpg","Gerry Zambonini","Gerry Zambonini","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","50","55"
"Green Woodpecker","European Green Woodpecker","Picus viridis","1","55183","https://www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/PICVIR_100401_Bergons.mp3","https://www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC55183-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","GROSSELET Olivier","https://commons.wikimedia.org/wiki/File:European_green_woodpecker_(Picus_viridis)_female_Barnes.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c5/European_green_woodpecker_%28Picus_viridis%29_female_Barnes.jpg","<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles James Sharp</span></a>
</bdi>","Charles James Sharp
","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","50","20"
"Jay","Eurasian Jay","Garrulus glandarius","1","25647","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Garrulus glandarius calls 1982 05 25 1B 46-61 Gurre Soe.mp3","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC25647-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Niels Krabbe","https://commons.wikimedia.org/wiki/File:Eurasian_jay_YerevanBotanic2020.jpg","https://upload.wikimedia.org/wikipedia/commons/f/ff/Eurasian_jay_YerevanBotanic2020.jpg","<a href=""//commons.wikimedia.org/wiki/User:Yerevantsi"" title=""User:Yerevantsi"">Yerevantsi</a>","Yerevantsi","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","55","50"
"Coal Tit",,"Periparus ater","1","24884","https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/Coaltitsong.mp3","https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC24884-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Stuart Fisher","https://commons.m.wikimedia.org/wiki/File:Periparus_ater_(41076978671).jpg","https://upload.wikimedia.org/wikipedia/commons/b/bd/Periparus_ater_%2841076978671%29.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/59161444@N05"">xulescu_g</a>","xulescu_g","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","20","50"
"Marsh Tit",,"Poecile palustris","1","27291","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/14400.090102.1glanskoproepVuursche.mp3","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC27291-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Ruud van Beusekom","https://commons.wikimedia.org/wiki/File:Sumpfmeise1.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/Sumpfmeise1.jpg","Steffen Hannert","Steffen Hannert","Copyrighted free use","https://commons.wikimedia.org/wiki/Category:Copyrighted_free_use ","70","50"
"Blue Tit","Eurasian Blue Tit","Cyanistes caeruleus","1","28208","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/BlamessangKalledalen2006-05-07.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC28208-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Eurasian_blue_tit_Lancashire.jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Eurasian_blue_tit_Lancashire.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis Franklin</a>","Francis Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","55","50"
"Great Tit",,"Parus major","1","45953","https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/Kjoettmeis sang03-10.mp3","https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC45953-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Stein Ø. Nilsen","https://commons.wikimedia.org/wiki/File:Parus_major_Luc_Viatour.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d2/Parus_major_Luc_Viatour.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/12346105@N04"">Luc Viatour</a> from Bruxelles, Belgique","Luc Viatour","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","50","50"
"Swallow","Barn Swallow","Hirundo rustica","1","36375","https://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/XC_HIRRUS1.mp3","https://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC36375-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Tomas Belka","https://commons.wikimedia.org/wiki/File:HirundoRusticaFlight.jpg","https://upload.wikimedia.org/wikipedia/commons/5/50/HirundoRusticaFlight.jpg","No machine-readable author provided. <a href=""//commons.wikimedia.org/wiki/User:Thermos"" title=""User:Thermos"">Thermos</a> assumed (based on copyright claims).","Thermos","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","50","50"
"House Martin","Common House Martin","Delichon urbicum","1","27279","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/HussvalaHammarsudde.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27279-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:House_Martin_-_Delichon_urbicum_-_B%C3%A6jasvala.jpg","https://upload.wikimedia.org/wikipedia/commons/6/60/House_Martin_-_Delichon_urbicum_-_B%C3%A6jasvala.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/29174969@N00"">Ómar Runólfsson</a>","Ómar Runólfsson","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","45","50"
"Long-tailed Tit",,"Aegithalos caudatus","1","287800","https://www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC287800-T04.mp3","https://www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC287800-med.png","https://creativecommons.org/licenses/by-nc-nd/4.0/","BY-NC-ND 4.0","david m","https://commons.wikimedia.org/wiki/File:Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0b/Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/22311"">Dave Croker</a>","Dave Croker","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","65","50"
"Goldcrest",,"Regulus regulus","1","42341","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/KungsfagelsongFrostorp2009-05-18.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC42341-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Goldcrest_1.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fe/Goldcrest_1.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis C. Franklin</a>","Francis C. Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","40","50"
"Wren","Eurasian Wren","Troglodytes troglodytes","1","27114","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Gardsmyg2008-06-29.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27114-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Eurasian_Wren_Troglodytes_troglodytes_neglectus,_Gilgit_(19738387572).jpg","https://upload.wikimedia.org/wikipedia/commons/c/c3/Eurasian_Wren_Troglodytes_troglodytes_neglectus%2C_Gilgit_%2819738387572%29.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/68466173@N02"">Imran Shah</a> from Islamabad, Pakistan","Imran Shah","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","50","75"
"Nuthatch","Eurasian Nuthatch","Sitta europaea","1","35043","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/EurasianNuthatch30March2009DwingelderveldHolland.mp3","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC35043-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Sander Bot","https://commons.wikimedia.org/wiki/File:Sitta_europaea_-Europe-8.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d5/Sitta_europaea_-Europe-8.jpg","<a href=""//www.flickr.com/people/8892435@N07"" class=""extiw"" title=""flickruser:8892435@N07"">Giuss95</a>","Giuss95","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","35","50"
"Treecreeper","Eurasian Treecreeper","Certhia familiaris","1","72675","https://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/WaldbaumlHBWald8-4-8frueh.mp3","https://www.xeno-canto.org/sounds/uploaded/AZVRMQWBEK/ffts/XC72675-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Volker Arnold","https://commons.wikimedia.org/wiki/File:Certhia_familiaris_01.jpg","https://upload.wikimedia.org/wikipedia/commons/0/04/Certhia_familiaris_01.jpg","Paweł Kuźniar (<a href=""https://en.wikipedia.org/wiki/User:Jojo_1"" class=""extiw"" title=""en:User:Jojo 1"">Jojo_1</a>, <a href=""https://pl.wikipedia.org/wiki/Wikipedysta:Jojo"" class=""extiw"" title=""pl:Wikipedysta:Jojo"">Jojo</a>)","Paweł Kuźniar","CC-BY-SA-3.0","http://creativecommons.org/licenses/by-sa/3.0/","50","65"
"Starling","Common Starling","Sturnus vulgaris","1","27154","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/StaresangKalledalen.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27154-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_2.jpg","https://upload.wikimedia.org/wikipedia/commons/0/06/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_2.jpg","<a href=""//commons.wikimedia.org/wiki/User:PierreSelim"" title=""User:PierreSelim"">PierreSelim</a>","Pierre Selim","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","50","50"
"Blackbird","Common Blackbird","Turdus merula","1","25554","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Turdus_merula_song_1997_06_18_1630_hrs_Fairyhill_CLVI_A_110-130.mp3","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC25554-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Niels Krabbe","https://commons.wikimedia.org/wiki/File:Common_Blackbird.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a9/Common_Blackbird.jpg","<a rel=""nofollow"" class=""external text"" href=""http://photo-natur.de"">Andreas Trepte</a>","Andreas Trepte","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","30","50"
"Fieldfare",,"Turdus pilaris","1","25765","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Turdus_pilaris_calls_150_birds_1983_04_22_A_174-187_Samsoe.mp3","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC25765-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Niels Krabbe","https://commons.wikimedia.org/wiki/File:Turdus_pilaris_no.JPG","https://upload.wikimedia.org/wikipedia/commons/5/5d/Turdus_pilaris_no.JPG","<a href=""//commons.wikimedia.org/wiki/User:Eaglestein"" title=""User:Eaglestein"">Arnstein Rønning</a>","Arnstein Rønning","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","40","50"
"Redwing",,"Turdus iliacus","1","42438","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/RodvingetrastoroslateochlocklateVentlingestrand2009-10-10.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC42438-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Redwing_Turdus_iliacus.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c1/Redwing_Turdus_iliacus.jpg","<a rel=""nofollow"" class=""external text"" href=""http://foto.andreas-trepte.de"">Andreas Trepte</a>","Andreas Trepte","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","25","50"
"Song Thrush",,"Turdus philomelos","1","26981","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/TaltrastsangTivedens.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC26981-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Turdus_philomelos_-_Western_Springs_Lakeside_Park.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b2/Turdus_philomelos_-_Western_Springs_Lakeside_Park.jpg","<a href=""//commons.wikimedia.org/wiki/User:JJ_Harrison"" title=""User:JJ Harrison"">JJ Harrison</a> (<a rel=""nofollow"" class=""external text"" href=""https://www.jjharrison.com.au/"">https://www.jjharrison.com.au/</a>)","JJ Harrison","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","70","50"
"Mistle Thrush",,"Turdus viscivorus","1","26978","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Dubbeltrastsang.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC26978-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Turdus_viscivorus_in_Baikonur-town_001.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Turdus_viscivorus_in_Baikonur-town_001.jpg","<a href=""//commons.wikimedia.org/wiki/User:Yuriy75"" title=""User:Yuriy75"">Yuriy75</a>","Yuriy75","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","50","50"
"Robin","European Robin","Erithacus rubecula","1","27554","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/RodhakeTiveden2008-06-29.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27554-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_with_cocked_head.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f3/Erithacus_rubecula_with_cocked_head.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis C. Franklin</a>","Francis C. Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","50","50"
"House Sparrow",,"Passer domesticus","1","44727","https://www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/Passer_domesticus_Biebrza_Wolka_Piaseczna_Poland_Jarek_Matusiak_20100221.mp3","https://www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC44727-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Jarek Matusiak","https://commons.wikimedia.org/wiki/File:House_Sparrow(Passer_domesticus).jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/House_Sparrow%28Passer_domesticus%29.jpg","Mathias Appel","Mathias Appel","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","100","50"
"Dunnock",,"Prunella modularis","1","27116","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Jarnsparv.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27116-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Prunella_modularis-crop.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0b/Prunella_modularis-crop.jpg","<ul>
<li>
<a href=""//commons.wikimedia.org/wiki/File:Prunella_modularis.jpg"" title=""File:Prunella modularis.jpg"">Prunella_modularis.jpg</a>: <a href=""//commons.wikimedia.org/w/index.php?title=User:Karsten&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Karsten (page does not exist)"">Karsten</a>
</li>
<li>derivative work: <a href=""//commons.wikimedia.org/wiki/User:Wenkbrauwalbatros"" title=""User:Wenkbrauwalbatros"">Wenkbrauwalbatros</a> (<a href=""//commons.wikimedia.org/wiki/User_talk:Wenkbrauwalbatros"" title=""User talk:Wenkbrauwalbatros""><span class=""signature-talk"">talk</span></a>)</li>
</ul>","Karsten (Wenkbrauwalbatros)","CC-BY-SA-3.0","http://creativecommons.org/licenses/by-sa/3.0/","35","50"
"Chaffinch","Common Chaffinch","Fringilla coelebs","1","27602","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/BofinksangBergtakten.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27602-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Fringilla_coelebs_on_branch.jpg","https://upload.wikimedia.org/wikipedia/commons/4/45/Fringilla_coelebs_on_branch.jpg","<a href=""//commons.wikimedia.org/w/index.php?title=User:Tadaa3x&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Tadaa3x (page does not exist)"">Martin Kunz</a>","Martin Kunz","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","70","50"
"Brambling",,"Fringilla montifringilla","1","177657","https://www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC177657-T13.mp3","https://www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177657-med.png","https://creativecommons.org/licenses/by-nc-nd/4.0/","BY-NC-ND 4.0","david m","https://commons.wikimedia.org/wiki/File:Fringilla_montifringilla_-Poland_-male-8.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c9/Fringilla_montifringilla_-Poland_-male-8.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/photos/65535502@N00"">mmlolek</a>","mmlolek","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","15","50"
"Bullfinch","Eurasian Bullfinch","Pyrrhula pyrrhula","1","25564","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Pyrrhula_pyrrhula_2008_05_03_song.mp3","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC25564-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Niels Krabbe","https://commons.wikimedia.org/wiki/File:Bullfinch_male.jpg","https://upload.wikimedia.org/wikipedia/commons/d/de/Bullfinch_male.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis Franklin</a>","Francis Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","50","50"
"Greenfinch","European Greenfinch","Chloris chloris","1","35048","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/EuropeanGreenfinch2April2009DwingelderveldHolland.mp3","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC35048-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Sander Bot","https://commons.wikimedia.org/wiki/File:Chloris_chloris_(profile).jpg","https://upload.wikimedia.org/wikipedia/commons/2/29/Chloris_chloris_%28profile%29.jpg","<a href=""//commons.wikimedia.org/w/index.php?title=User:Tadaa3x&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Tadaa3x (page does not exist)"">Martin Kunz</a>","Martin Kunz","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","65","50"
"Goldfinch","European Goldfinch","Carduelis carduelis","1","34678","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/16530.090523.putterzangLaaksestrand.mp3","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC34678-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Ruud van Beusekom","https://commons.wikimedia.org/wiki/File:Carduelis_carduelis_close_up.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7c/Carduelis_carduelis_close_up.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis C. Franklin</a>","Francis C. Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","60","50"
"Siskin","Eurasian Siskin","Spinus spinus","1","35044","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/EurasianSiskin30March2009DwingelderveldHolland.mp3","https://www.xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC35044-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Sander Bot","https://commons.wikimedia.org/wiki/File:Carduelis_spinus_male.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9e/Carduelis_spinus_male.jpg","Sławek Staszczuk (photoss [AT] hotmail.co.uk)","Sławek Staszczuk","CC-BY-SA-3.0","http://creativecommons.org/licenses/by-sa/3.0/","70","50"
